barcode,page,page_url,crop_filenamex,y,width,height
7461264,11,https://invisibleaus.s3.amazonaws.com/ST84-1/1912-84-1-10-%5B7461264%5D/7461264-p11.jpg,7461264-11-handprint-0.jpg,214.38546624011843,432.48022868032393,758.9966644472622,977.0849610925835
7461264,8,https://invisibleaus.s3.amazonaws.com/ST84-1/1912-84-1-10-%5B7461264%5D/7461264-p8.jpg,7461264-8-handprint-0.jpg,243.9567648549468,425.0874042584381,712.1754416404506,963.53144965246
7461264,6,https://invisibleaus.s3.amazonaws.com/ST84-1/1912-84-1-10-%5B7461264%5D/7461264-p6.jpg,7461264-6-handprint-0.jpg,283.38516300805134,363.48053407605573,623.4615457959651,1020.2097702202514
7461264,3,https://invisibleaus.s3.amazonaws.com/ST84-1/1912-84-1-10-%5B7461264%5D/7461264-p3.jpg,7461264-3-handprint-0.jpg,388.11684560223523,441.1051905058575,651.8007069685092,963.5314496524599
11017366,10,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-141-150-%5B11017366%5D/11017366-p10.jpg,11017366-10-handprint-0.jpg,292.1867176816158,502.9202299655289,655.365630200975,941.574278984497
11017366,8,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-141-150-%5B11017366%5D/11017366-p8.jpg,11017366-8-handprint-0.jpg,278.02878663249834,499.4508912396366,710.8396862622099,926.5279804488523
11017366,6,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-141-150-%5B11017366%5D/11017366-p6.jpg,11017366-6-handprint-0.jpg,234.3166920519193,482.2549037625554,690.7781445548907,879.2373951213306
11017366,4,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-141-150-%5B11017366%5D/11017366-p4.jpg,11017366-4-handprint-0.jpg,215.68699963167956,405.5799202892888,741.6522936304306,946.5920047741174
11017366,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-141-150-%5B11017366%5D/11017366-p2.jpg,11017366-2-handprint-0.jpg,285.1944554175213,456.45663487776744,757.4170017555361,935.8435873632092
7473989,12,https://invisibleaus.s3.amazonaws.com/ST84-1/1908-331-340-%5B7473989%5D/7473989-p12.jpg,7473989-12-handprint-0.jpg,70.6434909986416,171.13043478260852,776.3478260869562,957.9130434782605
7473989,10,https://invisibleaus.s3.amazonaws.com/ST84-1/1908-331-340-%5B7473989%5D/7473989-p10.jpg,7473989-10-handprint-0.jpg,58.121751868206516,194.08695652173913,768.0,991.3043796705164
7473989,6,https://invisibleaus.s3.amazonaws.com/ST84-1/1908-331-340-%5B7473989%5D/7473989-p6.jpg,7473989-6-handprint-0.jpg,67.09160492205551,242.60715350935416,782.5614510630422,951.6461247334665
7473989,4,https://invisibleaus.s3.amazonaws.com/ST84-1/1908-331-340-%5B7473989%5D/7473989-p4.jpg,7473989-4-handprint-0.jpg,115.61041488796411,709.0389712241122,683.9587082290989,524.3444930686042
7473989,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1908-331-340-%5B7473989%5D/7473989-p2.jpg,7473989-2-handprint-0.jpg,96.82894006245115,644.8654661022834,729.3472723907553,527.4749079525958
7461210,12,https://invisibleaus.s3.amazonaws.com/ST84-1/1911-69-61-70-%5B7461210%5D/7461210-p12.jpg,7461210-12-handprint-0.jpg,48.76668028900589,923.9911720207311,1171.7391304347825,732.050976866666
7961207,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1930-476-71-80-%5B7961207%5D/7961207-p2.jpg,7961207-2-handprint-0.jpg,611.7874824234839,750.252479228089,191.2685337726524,206.09702492629322
7961207,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1930-476-71-80-%5B7961207%5D/7961207-p2.jpg,7961207-2-handprint-1.jpg,51.32619741524661,720.5982310372556,198.6820428336079,226.85499865987663
7461265,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1912-84-11-20-%5B7461265%5D/7461265-p2.jpg,7461265-2-handprint-0.jpg,103.99232245681382,315.42878984044944,981.0748560460652,1383.3346391005948
11609500,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-461-470-%5B11609500%5D/11609500-p2.jpg,11609500-2-handprint-0.jpg,268.062015503876,408.0633650435952,760.7751937984495,981.0885159558775
7473989,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1908-331-340-%5B7473989%5D/7473989-p2.jpg,7473989-2-handprint-1.jpg,111.34883720930233,285.48644491446805,726.6976744186044,888.2730734728756
11017344,10,https://invisibleaus.s3.amazonaws.com/ST84-1/1906-261-270-%5B11017344%5D/11017344-p10.jpg,11017344-10-handprint-0.jpg,10.647085498785096,316.61099142381005,807.3952483801304,875.1899376967375
11017344,6,https://invisibleaus.s3.amazonaws.com/ST84-1/1906-261-270-%5B11017344%5D/11017344-p6.jpg,11017344-6-handprint-0.jpg,0.8907906146412943,126.24176647286441,822.0359281437121,1011.7407381584919
11017344,4,https://invisibleaus.s3.amazonaws.com/ST84-1/1906-261-270-%5B11017344%5D/11017344-p4.jpg,11017344-4-handprint-0.jpg,107.30402128221239,177.38238200047238,729.4850299401203,933.4747852774851
11017359,16,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-11-20-%5B11017359%5D/11017359-p16.jpg,11017359-16-handprint-0.jpg,295.2265209775518,525.2474939435489,639.182459824487,880.6673534196749
11017359,14,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-11-20-%5B11017359%5D/11017359-p14.jpg,11017359-14-handprint-0.jpg,329.62198966765874,404.14677569462697,664.2624890776899,897.1485162582856
11017359,12,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-11-20-%5B11017359%5D/11017359-p12.jpg,11017359-12-handprint-0.jpg,227.8687281260924,434.24281218252474,779.6306236424236,978.121185856677
11017359,10,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-11-20-%5B11017359%5D/11017359-p10.jpg,11017359-10-handprint-0.jpg,245.0664023443803,373.33423354994795,763.8661531422908,1024.6985680929474
11017359,8,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-11-20-%5B11017359%5D/11017359-p8.jpg,11017359-8-handprint-0.jpg,273.01278078185777,405.5799202892888,672.1447839858395,981.7040473433315
11017359,6,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-11-20-%5B11017359%5D/11017359-p6.jpg,11017359-6-handprint-0.jpg,204.9372056686563,398.41558367370254,695.0775935873899,992.4560852303562
11017359,4,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-11-20-%5B11017359%5D/11017359-p4.jpg,11017359-4-handprint-0.jpg,202.7873991469243,476.52230460936005,764.585352946129,938.7131113357319
11017359,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1907-11-20-%5B11017359%5D/11017359-p2.jpg,11017359-2-handprint-0.jpg,224.28586680420628,418.478221641245,705.1071081471919,991.736059505964
12150634,2,https://invisibleaus.s3.amazonaws.com/ST84-1/1903-161-170-%5B12150634%5D/12150634-p2.jpg,12150634-2-handprint-0.jpg,33.36818253004972,615.7603096478234,1072.1979778287512,742.7877861136329
7473924,22,https://invisibleaus.s3.amazonaws.com/ST84-1/1904-251-260-%5B7473924%5D/7473924-p22.jpg,7473924-22-handprint-0.jpg,70.89934493457282,220.56361680389708,721.9161676646705,953.0156895603934
